recommendation_id,project_id,recommended_by,recommendation_date,recommended_work_type,recommended_amount,reason,approval_status,approval_date,remarks
REC-00395,MPLADS-SYN-0395,MP-499,2025-11-30,Health Facility,3630000,Water and sanitation,Approved,2025-12-22,Synthetic demonstration record
REC-00396,MPLADS-SYN-0396,MP-650,2026-03-02,Street Lighting,520000,Public utility improvement,Approved,2026-04-22,Synthetic demonstration record
REC-00397,MPLADS-SYN-0397,MP-348,2026-07-07,Drainage,1730000,Public utility improvement,Under Review,2026-08-15,Synthetic demonstration record
REC-00398,MPLADS-SYN-0398,MP-602,2026-01-10,Solar Lighting,980000,Public utility improvement,Approved,2026-01-28,Synthetic demonstration record
REC-00399,MPLADS-SYN-0399,MP-578,2026-04-28,Sports Facility,1100000,Public utility improvement,Approved,2026-06-13,Synthetic demonstration record
REC-00400,MPLADS-SYN-0400,MP-671,2026-03-17,Sports Facility,530000,Road connectivity,Approved,2026-04-25,Synthetic demonstration record
REC-00401,MPLADS-SYN-0401,MP-829,2026-02-15,Drainage,2280000,Local infrastructure need,Approved,2026-04-03,Synthetic demonstration record
REC-00402,MPLADS-SYN-0402,MP-603,2026-02-24,Community Hall,1290000,Road connectivity,Under Review,2026-04-11,Synthetic demonstration record
REC-00403,MPLADS-SYN-0403,MP-350,2025-12-17,Drinking Water,450000,Local infrastructure need,Under Review,2026-01-22,Synthetic demonstration record
REC-00404,MPLADS-SYN-0404,MP-698,2026-03-26,Community Hall,3820000,Water and sanitation,Under Review,2026-05-23,Synthetic demonstration record
REC-00405,MPLADS-SYN-0405,MP-778,2026-01-22,Community Hall,2480000,Water and sanitation,Under Review,2026-03-07,Synthetic demonstration record
REC-00406,MPLADS-SYN-0406,MP-494,2026-01-01,Solar Lighting,1710000,Community facility,Approved,2026-01-19,Synthetic demonstration record
REC-00407,MPLADS-SYN-0407,MP-445,2025-12-22,Library,470000,Local infrastructure need,Approved,2026-01-31,Synthetic demonstration record
REC-00408,MPLADS-SYN-0408,MP-866,2025-11-11,Library,1340000,Water and sanitation,Rejected,2025-12-12,Synthetic demonstration record
REC-00409,MPLADS-SYN-0409,MP-361,2026-04-01,School Building,1440000,Community facility,Under Review,2026-04-29,Synthetic demonstration record
REC-00410,MPLADS-SYN-0410,MP-329,2026-03-03,Drainage,1770000,Public utility improvement,Rejected,2026-03-20,Synthetic demonstration record
REC-00411,MPLADS-SYN-0411,MP-520,2026-05-27,Drainage,1470000,Local infrastructure need,Under Review,2026-07-08,Synthetic demonstration record
REC-00412,MPLADS-SYN-0412,MP-297,2025-11-28,School Building,1760000,Road connectivity,Under Review,2025-12-24,Synthetic demonstration record
REC-00413,MPLADS-SYN-0413,MP-162,2025-12-07,Road,1000000,Road connectivity,Approved,2025-12-27,Synthetic demonstration record
REC-00414,MPLADS-SYN-0414,MP-622,2026-01-22,School Building,2230000,Water and sanitation,Rejected,2026-02-22,Synthetic demonstration record
REC-00415,MPLADS-SYN-0415,MP-832,2026-04-16,Sports Facility,2180000,Local infrastructure need,Under Review,2026-05-09,Synthetic demonstration record
REC-00416,MPLADS-SYN-0416,MP-355,2026-06-30,Drainage,2180000,Road connectivity,Approved,2026-08-24,Synthetic demonstration record
REC-00417,MPLADS-SYN-0417,MP-194,2025-10-26,Solar Lighting,1250000,Community facility,Under Review,2025-12-22,Synthetic demonstration record
REC-00418,MPLADS-SYN-0418,MP-122,2026-04-27,Health Facility,2550000,Road connectivity,Rejected,2026-06-04,Synthetic demonstration record
REC-00419,MPLADS-SYN-0419,MP-203,2025-12-31,Health Facility,3560000,Public utility improvement,Approved,2026-02-04,Synthetic demonstration record
REC-00420,MPLADS-SYN-0420,MP-427,2026-04-02,Drainage,1820000,Local infrastructure need,Approved,2026-05-27,Synthetic demonstration record
REC-00421,MPLADS-SYN-0421,MP-292,2026-03-16,Community Hall,2830000,Public utility improvement,Approved,2026-05-15,Synthetic demonstration record
REC-00422,MPLADS-SYN-0422,MP-612,2026-03-27,Sports Facility,2260000,Water and sanitation,Rejected,2026-05-07,Synthetic demonstration record
REC-00423,MPLADS-SYN-0423,MP-309,2026-01-25,Sports Facility,370000,Public utility improvement,Rejected,2026-03-23,Synthetic demonstration record
REC-00424,MPLADS-SYN-0424,MP-808,2025-10-31,Health Facility,1500000,Local infrastructure need,Under Review,2025-11-23,Synthetic demonstration record
REC-00425,MPLADS-SYN-0425,MP-309,2025-11-12,Community Hall,1390000,Community facility,Approved,2025-11-27,Synthetic demonstration record
REC-00426,MPLADS-SYN-0426,MP-141,2025-11-26,Street Lighting,1470000,Community facility,Approved,2026-01-11,Synthetic demonstration record
REC-00427,MPLADS-SYN-0427,MP-139,2026-07-12,School Building,4760000,Road connectivity,Approved,2026-08-04,Synthetic demonstration record
REC-00428,MPLADS-SYN-0428,MP-183,2025-09-25,Sports Facility,1640000,Community facility,Under Review,2025-11-01,Synthetic demonstration record
REC-00429,MPLADS-SYN-0429,MP-958,2025-10-05,Community Hall,1930000,Road connectivity,Rejected,2025-11-12,Synthetic demonstration record
REC-00430,MPLADS-SYN-0430,MP-712,2026-03-05,Drainage,1180000,Local infrastructure need,Under Review,2026-03-28,Synthetic demonstration record
REC-00431,MPLADS-SYN-0431,MP-119,2025-10-14,Library,400000,Public utility improvement,Under Review,2025-12-07,Synthetic demonstration record
REC-00432,MPLADS-SYN-0432,MP-539,2025-11-12,Road,2280000,Local infrastructure need,Approved,2025-12-15,Synthetic demonstration record
REC-00433,MPLADS-SYN-0433,MP-424,2026-01-22,Health Facility,2120000,Community facility,Approved,2026-02-08,Synthetic demonstration record
REC-00434,MPLADS-SYN-0434,MP-988,2026-05-29,Drinking Water,630000,Local infrastructure need,Rejected,2026-07-13,Synthetic demonstration record
REC-00435,MPLADS-SYN-0435,MP-226,2025-12-08,Community Hall,3240000,Public utility improvement,Approved,2026-01-19,Synthetic demonstration record
REC-00436,MPLADS-SYN-0436,MP-111,2026-07-17,Solar Lighting,890000,Community facility,Approved,2026-08-09,Synthetic demonstration record
REC-00437,MPLADS-SYN-0437,MP-511,2026-03-28,Solar Lighting,1620000,Community facility,Rejected,2026-04-30,Synthetic demonstration record
REC-00438,MPLADS-SYN-0438,MP-922,2025-11-27,Street Lighting,270000,Public utility improvement,Rejected,2025-12-19,Synthetic demonstration record
REC-00439,MPLADS-SYN-0439,MP-557,2026-05-20,Drainage,530000,Public utility improvement,Approved,2026-06-06,Synthetic demonstration record
REC-00440,MPLADS-SYN-0440,MP-351,2025-11-02,Street Lighting,1070000,Local infrastructure need,Approved,2025-12-15,Synthetic demonstration record
REC-00441,MPLADS-SYN-0441,MP-354,2026-01-16,Sports Facility,990000,Local infrastructure need,Approved,2026-02-26,Synthetic demonstration record
REC-00442,MPLADS-SYN-0442,MP-521,2025-11-11,Drinking Water,1070000,Road connectivity,Rejected,2025-11-28,Synthetic demonstration record
REC-00443,MPLADS-SYN-0443,MP-326,2026-05-19,Solar Lighting,700000,Public utility improvement,Rejected,2026-06-08,Synthetic demonstration record
REC-00444,MPLADS-SYN-0444,MP-464,2025-11-27,Solar Lighting,660000,Road connectivity,Approved,2026-01-07,Synthetic demonstration record
REC-00445,MPLADS-SYN-0445,MP-356,2026-06-19,School Building,3550000,Water and sanitation,Under Review,2026-07-25,Synthetic demonstration record
REC-00446,MPLADS-SYN-0446,MP-253,2026-06-04,Drinking Water,620000,Water and sanitation,Rejected,2026-06-27,Synthetic demonstration record
REC-00447,MPLADS-SYN-0447,MP-790,2026-01-11,Solar Lighting,470000,Public utility improvement,Rejected,2026-03-07,Synthetic demonstration record
REC-00448,MPLADS-SYN-0448,MP-865,2025-11-21,Drinking Water,1330000,Local infrastructure need,Approved,2026-01-04,Synthetic demonstration record
REC-00449,MPLADS-SYN-0449,MP-215,2025-11-09,Community Hall,1320000,Local infrastructure need,Approved,2025-12-16,Synthetic demonstration record
REC-00450,MPLADS-SYN-0450,MP-547,2026-04-18,Street Lighting,1460000,Community facility,Rejected,2026-05-05,Synthetic demonstration record
REC-00451,MPLADS-SYN-0451,MP-692,2026-02-10,School Building,2160000,Local infrastructure need,Under Review,2026-03-26,Synthetic demonstration record
REC-00452,MPLADS-SYN-0452,MP-891,2026-06-25,Community Hall,1370000,Local infrastructure need,Approved,2026-07-15,Synthetic demonstration record
REC-00453,MPLADS-SYN-0453,MP-635,2026-02-12,Library,1630000,Local infrastructure need,Rejected,2026-03-28,Synthetic demonstration record
REC-00454,MPLADS-SYN-0454,MP-713,2026-04-12,Road,2050000,Public utility improvement,Approved,2026-05-12,Synthetic demonstration record
REC-00455,MPLADS-SYN-0455,MP-918,2025-12-11,Solar Lighting,1550000,Public utility improvement,Approved,2026-02-08,Synthetic demonstration record
REC-00456,MPLADS-SYN-0456,MP-117,2025-11-23,Community Hall,1660000,Road connectivity,Under Review,2026-01-10,Synthetic demonstration record
REC-00457,MPLADS-SYN-0457,MP-851,2026-03-20,Drainage,1000000,Community facility,Under Review,2026-04-09,Synthetic demonstration record
REC-00458,MPLADS-SYN-0458,MP-438,2026-03-20,School Building,1400000,Water and sanitation,Approved,2026-05-02,Synthetic demonstration record
REC-00459,MPLADS-SYN-0459,MP-403,2026-04-02,Drinking Water,1430000,Public utility improvement,Approved,2026-04-23,Synthetic demonstration record
REC-00460,MPLADS-SYN-0460,MP-640,2025-10-22,School Building,1690000,Public utility improvement,Approved,2025-11-15,Synthetic demonstration record
REC-00461,MPLADS-SYN-0461,MP-280,2026-04-02,Library,490000,Water and sanitation,Under Review,2026-05-13,Synthetic demonstration record
REC-00462,MPLADS-SYN-0462,MP-902,2025-11-05,Drinking Water,1090000,Road connectivity,Under Review,2025-11-27,Synthetic demonstration record
REC-00463,MPLADS-SYN-0463,MP-125,2026-04-24,Community Hall,1370000,Public utility improvement,Approved,2026-05-28,Synthetic demonstration record
REC-00464,MPLADS-SYN-0464,MP-976,2026-03-17,School Building,1720000,Local infrastructure need,Under Review,2026-05-16,Synthetic demonstration record
REC-00465,MPLADS-SYN-0465,MP-657,2026-06-15,School Building,1080000,Community facility,Approved,2026-07-20,Synthetic demonstration record
REC-00466,MPLADS-SYN-0466,MP-151,2026-04-02,Community Hall,1650000,Community facility,Approved,2026-04-29,Synthetic demonstration record
REC-00467,MPLADS-SYN-0467,MP-500,2026-03-11,School Building,1930000,Road connectivity,Approved,2026-04-09,Synthetic demonstration record
REC-00468,MPLADS-SYN-0468,MP-307,2026-05-14,Drinking Water,1710000,Public utility improvement,Approved,2026-06-18,Synthetic demonstration record
REC-00469,MPLADS-SYN-0469,MP-825,2025-11-16,Road,2270000,Road connectivity,Under Review,2025-12-13,Synthetic demonstration record
REC-00470,MPLADS-SYN-0470,MP-817,2026-01-08,Solar Lighting,1250000,Local infrastructure need,Approved,2026-02-28,Synthetic demonstration record
REC-00471,MPLADS-SYN-0471,MP-388,2026-05-09,Drinking Water,960000,Local infrastructure need,Rejected,2026-06-09,Synthetic demonstration record
REC-00472,MPLADS-SYN-0472,MP-561,2026-03-22,Health Facility,1170000,Water and sanitation,Approved,2026-05-16,Synthetic demonstration record
REC-00473,MPLADS-SYN-0473,MP-250,2026-03-20,Health Facility,3540000,Local infrastructure need,Rejected,2026-04-04,Synthetic demonstration record
REC-00474,MPLADS-SYN-0474,MP-551,2025-11-30,Drinking Water,740000,Local infrastructure need,Approved,2025-12-26,Synthetic demonstration record
REC-00475,MPLADS-SYN-0475,MP-820,2026-01-21,Drainage,890000,Community facility,Approved,2026-03-12,Synthetic demonstration record
REC-00476,MPLADS-SYN-0476,MP-954,2026-03-23,Health Facility,3050000,Public utility improvement,Approved,2026-05-17,Synthetic demonstration record
REC-00477,MPLADS-SYN-0477,MP-862,2026-01-06,Solar Lighting,1330000,Water and sanitation,Approved,2026-02-18,Synthetic demonstration record
REC-00478,MPLADS-SYN-0478,MP-960,2026-01-11,Health Facility,2980000,Community facility,Under Review,2026-02-19,Synthetic demonstration record
REC-00479,MPLADS-SYN-0479,MP-211,2025-10-01,Drainage,810000,Water and sanitation,Rejected,2025-11-23,Synthetic demonstration record
REC-00480,MPLADS-SYN-0480,MP-483,2025-10-28,Road,600000,Local infrastructure need,Under Review,2025-12-20,Synthetic demonstration record
REC-00481,MPLADS-SYN-0481,MP-605,2025-12-02,Street Lighting,530000,Public utility improvement,Approved,2025-12-18,Synthetic demonstration record
REC-00482,MPLADS-SYN-0482,MP-170,2025-12-20,Community Hall,1320000,Local infrastructure need,Under Review,2026-01-27,Synthetic demonstration record
REC-00483,MPLADS-SYN-0483,MP-185,2025-11-04,Community Hall,2340000,Water and sanitation,Approved,2025-12-04,Synthetic demonstration record
REC-00484,MPLADS-SYN-0484,MP-175,2026-03-12,Drinking Water,610000,Water and sanitation,Approved,2026-04-20,Synthetic demonstration record
REC-00485,MPLADS-SYN-0485,MP-759,2026-06-10,Street Lighting,1170000,Water and sanitation,Approved,2026-07-28,Synthetic demonstration record
REC-00486,MPLADS-SYN-0486,MP-830,2026-01-26,Street Lighting,910000,Road connectivity,Under Review,2026-02-12,Synthetic demonstration record
REC-00487,MPLADS-SYN-0487,MP-458,2026-02-19,Library,340000,Road connectivity,Under Review,2026-03-15,Synthetic demonstration record
REC-00488,MPLADS-SYN-0488,MP-684,2026-03-23,Drinking Water,880000,Public utility improvement,Under Review,2026-05-06,Synthetic demonstration record
REC-00489,MPLADS-SYN-0489,MP-779,2026-02-06,Street Lighting,1000000,Water and sanitation,Rejected,2026-03-16,Synthetic demonstration record
REC-00490,MPLADS-SYN-0490,MP-690,2026-05-13,Solar Lighting,1500000,Road connectivity,Rejected,2026-06-08,Synthetic demonstration record
REC-00491,MPLADS-SYN-0491,MP-580,2026-01-02,Street Lighting,310000,Community facility,Under Review,2026-02-13,Synthetic demonstration record
REC-00492,MPLADS-SYN-0492,MP-768,2026-05-08,Sports Facility,1480000,Public utility improvement,Rejected,2026-05-30,Synthetic demonstration record
REC-00493,MPLADS-SYN-0493,MP-777,2026-01-20,Library,1410000,Public utility improvement,Rejected,2026-02-05,Synthetic demonstration record
REC-00494,MPLADS-SYN-0494,MP-950,2026-03-19,Road,2340000,Water and sanitation,Approved,2026-04-10,Synthetic demonstration record
REC-00495,MPLADS-SYN-0495,MP-546,2026-02-01,Solar Lighting,370000,Community facility,Approved,2026-02-23,Synthetic demonstration record
REC-00496,MPLADS-SYN-0496,MP-720,2026-01-05,Library,860000,Public utility improvement,Rejected,2026-01-20,Synthetic demonstration record
REC-00497,MPLADS-SYN-0497,MP-764,2026-03-18,Community Hall,2580000,Local infrastructure need,Under Review,2026-05-08,Synthetic demonstration record
REC-00498,MPLADS-SYN-0498,MP-934,2026-01-12,Road,810000,Community facility,Approved,2026-03-09,Synthetic demonstration record
REC-00499,MPLADS-SYN-0499,MP-150,2026-01-14,Solar Lighting,1640000,Local infrastructure need,Approved,2026-02-06,Synthetic demonstration record
REC-00500,MPLADS-SYN-0500,MP-806,2026-04-06,Road,530000,Water and sanitation,Approved,2026-05-24,Synthetic demonstration record
REC-00501,MPLADS-SYN-0501,MP-452,2025-11-29,Street Lighting,1170000,Community facility,Rejected,2026-01-12,Synthetic demonstration record
REC-00502,MPLADS-SYN-0502,MP-971,2025-10-04,Health Facility,3000000,Water and sanitation,Approved,2025-10-24,Synthetic demonstration record
REC-00503,MPLADS-SYN-0503,MP-787,2026-04-30,Drainage,1790000,Community facility,Rejected,2026-05-23,Synthetic demonstration record
REC-00504,MPLADS-SYN-0504,MP-494,2026-01-11,Drainage,1000000,Community facility,Approved,2026-02-01,Synthetic demonstration record
REC-00505,MPLADS-SYN-0505,MP-676,2026-05-23,Health Facility,2660000,Road connectivity,Rejected,2026-07-18,Synthetic demonstration record
REC-00506,MPLADS-SYN-0506,MP-891,2025-10-15,Health Facility,3520000,Community facility,Rejected,2025-11-18,Synthetic demonstration record
REC-00507,MPLADS-SYN-0507,MP-128,2025-11-09,Road,1410000,Water and sanitation,Rejected,2025-12-06,Synthetic demonstration record
REC-00508,MPLADS-SYN-0508,MP-425,2025-09-18,School Building,2340000,Community facility,Under Review,2025-10-27,Synthetic demonstration record
REC-00509,MPLADS-SYN-0509,MP-917,2026-04-20,Library,720000,Community facility,Approved,2026-06-11,Synthetic demonstration record
REC-00510,MPLADS-SYN-0510,MP-252,2026-04-22,Street Lighting,230000,Local infrastructure need,Under Review,2026-05-14,Synthetic demonstration record
REC-00511,MPLADS-SYN-0511,MP-477,2025-11-12,School Building,1020000,Water and sanitation,Approved,2026-01-02,Synthetic demonstration record
REC-00512,MPLADS-SYN-0512,MP-570,2026-02-07,Street Lighting,420000,Road connectivity,Approved,2026-03-16,Synthetic demonstration record
REC-00513,MPLADS-SYN-0513,MP-149,2026-04-05,Drinking Water,1240000,Water and sanitation,Under Review,2026-04-26,Synthetic demonstration record
REC-00514,MPLADS-SYN-0514,MP-578,2025-12-17,Health Facility,1030000,Road connectivity,Rejected,2026-02-10,Synthetic demonstration record
REC-00515,MPLADS-SYN-0515,MP-293,2026-04-25,Community Hall,1960000,Road connectivity,Approved,2026-06-14,Synthetic demonstration record
REC-00516,MPLADS-SYN-0516,MP-848,2026-05-30,Drinking Water,2000000,Local infrastructure need,Rejected,2026-07-15,Synthetic demonstration record
REC-00517,MPLADS-SYN-0517,MP-621,2026-03-07,Solar Lighting,1630000,Water and sanitation,Under Review,2026-04-22,Synthetic demonstration record
REC-00518,MPLADS-SYN-0518,MP-721,2026-05-30,School Building,3120000,Public utility improvement,Under Review,2026-07-23,Synthetic demonstration record
REC-00519,MPLADS-SYN-0519,MP-782,2026-04-19,Library,720000,Road connectivity,Under Review,2026-05-17,Synthetic demonstration record
REC-00520,MPLADS-SYN-0520,MP-340,2025-11-13,Road,1830000,Road connectivity,Rejected,2026-01-05,Synthetic demonstration record
REC-00521,MPLADS-SYN-0521,MP-704,2025-12-24,Solar Lighting,750000,Water and sanitation,Approved,2026-01-19,Synthetic demonstration record
REC-00522,MPLADS-SYN-0522,MP-248,2025-10-31,Drainage,1090000,Local infrastructure need,Approved,2025-12-24,Synthetic demonstration record
REC-00523,MPLADS-SYN-0523,MP-163,2026-03-17,Road,1970000,Water and sanitation,Under Review,2026-04-28,Synthetic demonstration record
REC-00524,MPLADS-SYN-0524,MP-691,2026-01-02,Community Hall,1270000,Local infrastructure need,Approved,2026-02-10,Synthetic demonstration record
REC-00525,MPLADS-SYN-0525,MP-214,2026-03-24,Road,2760000,Community facility,Approved,2026-05-14,Synthetic demonstration record
REC-00526,MPLADS-SYN-0526,MP-699,2025-11-15,Street Lighting,670000,Community facility,Approved,2025-12-13,Synthetic demonstration record
REC-00527,MPLADS-SYN-0527,MP-344,2026-01-26,School Building,1480000,Local infrastructure need,Approved,2026-03-22,Synthetic demonstration record
REC-00528,MPLADS-SYN-0528,MP-351,2026-03-15,School Building,3180000,Community facility,Rejected,2026-05-04,Synthetic demonstration record
REC-00529,MPLADS-SYN-0529,MP-140,2026-03-27,Solar Lighting,1660000,Road connectivity,Rejected,2026-05-14,Synthetic demonstration record
REC-00530,MPLADS-SYN-0530,MP-627,2026-05-06,Solar Lighting,1090000,Water and sanitation,Under Review,2026-06-04,Synthetic demonstration record
REC-00531,MPLADS-SYN-0531,MP-437,2025-12-14,Sports Facility,2430000,Road connectivity,Approved,2026-01-25,Synthetic demonstration record
REC-00532,MPLADS-SYN-0532,MP-275,2025-12-10,Street Lighting,1290000,Local infrastructure need,Approved,2026-02-01,Synthetic demonstration record
REC-00533,MPLADS-SYN-0533,MP-383,2026-04-19,Street Lighting,640000,Community facility,Rejected,2026-05-20,Synthetic demonstration record
REC-00534,MPLADS-SYN-0534,MP-616,2025-11-23,Drinking Water,1790000,Local infrastructure need,Approved,2025-12-19,Synthetic demonstration record
REC-00535,MPLADS-SYN-0535,MP-261,2025-11-11,Road,1480000,Water and sanitation,Approved,2025-12-14,Synthetic demonstration record
REC-00536,MPLADS-SYN-0536,MP-225,2026-01-03,Health Facility,4220000,Water and sanitation,Approved,2026-02-23,Synthetic demonstration record
REC-00537,MPLADS-SYN-0537,MP-919,2026-04-29,Library,670000,Public utility improvement,Approved,2026-06-20,Synthetic demonstration record
REC-00538,MPLADS-SYN-0538,MP-184,2026-05-24,Street Lighting,740000,Water and sanitation,Rejected,2026-07-10,Synthetic demonstration record
REC-00539,MPLADS-SYN-0539,MP-443,2026-03-15,Community Hall,2300000,Local infrastructure need,Approved,2026-05-05,Synthetic demonstration record
REC-00540,MPLADS-SYN-0540,MP-383,2025-09-18,Library,720000,Water and sanitation,Under Review,2025-11-13,Synthetic demonstration record
REC-00541,MPLADS-SYN-0541,MP-156,2026-01-28,Sports Facility,720000,Road connectivity,Under Review,2026-03-14,Synthetic demonstration record
REC-00542,MPLADS-SYN-0542,MP-776,2026-03-25,Road,2020000,Water and sanitation,Rejected,2026-05-15,Synthetic demonstration record
REC-00543,MPLADS-SYN-0543,MP-569,2026-04-06,Street Lighting,840000,Road connectivity,Approved,2026-04-25,Synthetic demonstration record
REC-00544,MPLADS-SYN-0544,MP-785,2026-04-08,Drinking Water,1430000,Road connectivity,Approved,2026-05-12,Synthetic demonstration record
REC-00545,MPLADS-SYN-0545,MP-426,2026-02-21,Solar Lighting,1100000,Public utility improvement,Under Review,2026-03-23,Synthetic demonstration record
REC-00546,MPLADS-SYN-0546,MP-812,2025-12-21,Solar Lighting,1210000,Local infrastructure need,Approved,2026-02-18,Synthetic demonstration record
REC-00547,MPLADS-SYN-0547,MP-606,2026-05-22,Library,400000,Road connectivity,Approved,2026-07-13,Synthetic demonstration record
REC-00548,MPLADS-SYN-0548,MP-570,2026-07-05,Road,1280000,Public utility improvement,Approved,2026-08-28,Synthetic demonstration record
REC-00549,MPLADS-SYN-0549,MP-627,2026-04-28,Drinking Water,1140000,Local infrastructure need,Approved,2026-06-06,Synthetic demonstration record
REC-00550,MPLADS-SYN-0550,MP-818,2026-01-04,Sports Facility,1760000,Road connectivity,Rejected,2026-03-01,Synthetic demonstration record
REC-00551,MPLADS-SYN-0551,MP-527,2025-12-05,Drainage,970000,Public utility improvement,Under Review,2026-01-01,Synthetic demonstration record
REC-00552,MPLADS-SYN-0552,MP-690,2026-02-26,Drainage,450000,Local infrastructure need,Rejected,2026-04-16,Synthetic demonstration record
REC-00553,MPLADS-SYN-0553,MP-946,2026-04-27,Solar Lighting,460000,Water and sanitation,Approved,2026-06-14,Synthetic demonstration record
REC-00554,MPLADS-SYN-0554,MP-422,2025-11-29,Library,850000,Road connectivity,Approved,2026-01-08,Synthetic demonstration record
REC-00555,MPLADS-SYN-0555,MP-877,2026-02-02,Street Lighting,930000,Road connectivity,Approved,2026-03-26,Synthetic demonstration record
REC-00556,MPLADS-SYN-0556,MP-379,2025-10-25,Library,830000,Road connectivity,Approved,2025-11-12,Synthetic demonstration record
REC-00557,MPLADS-SYN-0557,MP-116,2025-12-07,Library,1340000,Road connectivity,Approved,2026-01-22,Synthetic demonstration record
REC-00558,MPLADS-SYN-0558,MP-585,2025-10-24,Street Lighting,1140000,Road connectivity,Approved,2025-11-30,Synthetic demonstration record
REC-00559,MPLADS-SYN-0559,MP-961,2026-05-29,Library,1650000,Community facility,Approved,2026-06-20,Synthetic demonstration record
REC-00560,MPLADS-SYN-0560,MP-209,2025-12-19,Drinking Water,1330000,Community facility,Approved,2026-02-04,Synthetic demonstration record
REC-00561,MPLADS-SYN-0561,MP-998,2026-03-02,Drainage,580000,Community facility,Rejected,2026-04-25,Synthetic demonstration record
REC-00562,MPLADS-SYN-0562,MP-756,2025-09-19,Drinking Water,1620000,Local infrastructure need,Approved,2025-10-13,Synthetic demonstration record
REC-00563,MPLADS-SYN-0563,MP-700,2026-05-03,Sports Facility,330000,Public utility improvement,Under Review,2026-06-15,Synthetic demonstration record
REC-00564,MPLADS-SYN-0564,MP-315,2026-06-02,Library,1030000,Community facility,Under Review,2026-07-19,Synthetic demonstration record
REC-00565,MPLADS-SYN-0565,MP-179,2026-01-01,Road,1470000,Local infrastructure need,Approved,2026-02-05,Synthetic demonstration record
REC-00566,MPLADS-SYN-0566,MP-138,2025-10-01,Drinking Water,1520000,Public utility improvement,Under Review,2025-11-14,Synthetic demonstration record
REC-00567,MPLADS-SYN-0567,MP-505,2026-03-02,Health Facility,3550000,Local infrastructure need,Approved,2026-04-12,Synthetic demonstration record
REC-00568,MPLADS-SYN-0568,MP-961,2026-05-17,Street Lighting,1510000,Public utility improvement,Rejected,2026-06-12,Synthetic demonstration record
REC-00569,MPLADS-SYN-0569,MP-952,2026-01-26,Road,1280000,Road connectivity,Under Review,2026-02-28,Synthetic demonstration record
REC-00570,MPLADS-SYN-0570,MP-266,2025-11-23,Health Facility,2360000,Local infrastructure need,Approved,2025-12-15,Synthetic demonstration record
REC-00571,MPLADS-SYN-0571,MP-449,2026-05-03,Drinking Water,1780000,Road connectivity,Rejected,2026-06-26,Synthetic demonstration record
REC-00572,MPLADS-SYN-0572,MP-812,2026-04-15,Drinking Water,1080000,Public utility improvement,Approved,2026-06-11,Synthetic demonstration record
REC-00573,MPLADS-SYN-0573,MP-683,2026-02-07,Community Hall,2440000,Road connectivity,Approved,2026-03-25,Synthetic demonstration record
REC-00574,MPLADS-SYN-0574,MP-868,2026-07-16,School Building,3780000,Water and sanitation,Approved,2026-09-11,Synthetic demonstration record
REC-00575,MPLADS-SYN-0575,MP-334,2025-11-04,Sports Facility,1640000,Road connectivity,Rejected,2025-12-13,Synthetic demonstration record
REC-00576,MPLADS-SYN-0576,MP-920,2026-01-03,Solar Lighting,460000,Community facility,Under Review,2026-02-03,Synthetic demonstration record
REC-00577,MPLADS-SYN-0577,MP-801,2026-03-23,Community Hall,3360000,Local infrastructure need,Approved,2026-05-03,Synthetic demonstration record
REC-00578,MPLADS-SYN-0578,MP-915,2025-11-28,Road,760000,Public utility improvement,Approved,2025-12-16,Synthetic demonstration record
REC-00579,MPLADS-SYN-0579,MP-691,2026-05-27,Drainage,1030000,Road connectivity,Approved,2026-07-06,Synthetic demonstration record
REC-00580,MPLADS-SYN-0580,MP-445,2026-04-01,Street Lighting,1350000,Public utility improvement,Approved,2026-05-02,Synthetic demonstration record
REC-00581,MPLADS-SYN-0581,MP-880,2026-04-05,Road,1580000,Local infrastructure need,Approved,2026-04-20,Synthetic demonstration record
REC-00582,MPLADS-SYN-0582,MP-269,2026-01-21,Sports Facility,2060000,Road connectivity,Approved,2026-03-08,Synthetic demonstration record
REC-00583,MPLADS-SYN-0583,MP-508,2026-05-11,Community Hall,2950000,Local infrastructure need,Rejected,2026-06-27,Synthetic demonstration record
REC-00584,MPLADS-SYN-0584,MP-721,2026-03-29,Road,2620000,Road connectivity,Rejected,2026-04-29,Synthetic demonstration record
REC-00585,MPLADS-SYN-0585,MP-949,2025-09-14,Sports Facility,980000,Local infrastructure need,Under Review,2025-10-16,Synthetic demonstration record
REC-00586,MPLADS-SYN-0586,MP-296,2025-12-27,Sports Facility,1750000,Public utility improvement,Approved,2026-02-07,Synthetic demonstration record
REC-00587,MPLADS-SYN-0587,MP-468,2026-01-21,Drinking Water,520000,Local infrastructure need,Approved,2026-03-10,Synthetic demonstration record
REC-00588,MPLADS-SYN-0588,MP-711,2026-04-25,Drainage,1500000,Local infrastructure need,Under Review,2026-06-06,Synthetic demonstration record
REC-00589,MPLADS-SYN-0589,MP-877,2026-03-17,Road,510000,Road connectivity,Approved,2026-04-29,Synthetic demonstration record
REC-00590,MPLADS-SYN-0590,MP-727,2026-01-23,Road,1160000,Local infrastructure need,Under Review,2026-03-09,Synthetic demonstration record
REC-00591,MPLADS-SYN-0591,MP-274,2025-11-13,Drainage,2290000,Community facility,Approved,2026-01-12,Synthetic demonstration record
REC-00592,MPLADS-SYN-0592,MP-281,2026-04-07,Solar Lighting,1670000,Road connectivity,Approved,2026-05-02,Synthetic demonstration record
